# exit
#x y z t Bx By Bz Ex Ey Ez
0 0 314 0 -5.92419e-22 0.0369813 0.000140458 0 0 0 
0 0 315 0 -7.40523e-22 0.0374557 0.000137536 0 0 0 
0 0 316 0 -8.88628e-22 0.0379301 0.000134614 0 0 0 
0 0 317 0 -1.03673e-21 0.0384045 0.000131692 0 0 0 
0 0 318 0 -1.18484e-21 0.0388789 0.00012877 0 0 0 
0 0 319 0 -1.33294e-21 0.0393532 0.000125848 0 0 0 
0 0 320 0 -1.48105e-21 0.0398276 0.000122926 0 0 0 
0 0 321 0 -1.33294e-21 0.0403426 0.000131382 0 0 0 
0 0 322 0 -1.18484e-21 0.0408577 0.000139838 0 0 0 
0 0 323 0 -1.03673e-21 0.0413727 0.000148294 0 0 0 
0 0 324 0 -8.88628e-22 0.0418877 0.00015675 0 0 0 
0 0 325 0 -7.40523e-22 0.0424027 0.000165206 0 0 0 
0 0 326 0 -5.92419e-22 0.0429177 0.000173662 0 0 0 
0 0 327 0 -4.44314e-22 0.0434327 0.000182118 0 0 0 
0 0 328 0 -2.96209e-22 0.0439478 0.000190574 0 0 0 
0 0 329 0 -1.48105e-22 0.0444628 0.00019903 0 0 0 
0 0 330 0 2.61409e-34 0.0449778 0.000207486 0 0 0 
0 0 331 0 -1.75967e-22 0.0455351 0.000212033 0 0 0 
0 0 332 0 -3.51935e-22 0.0460924 0.00021658 0 0 0 
0 0 333 0 -5.27902e-22 0.0466497 0.000221127 0 0 0 
0 0 334 0 -7.03869e-22 0.0472071 0.000225674 0 0 0 
0 0 335 0 -8.79836e-22 0.0477644 0.000230221 0 0 0 
0 0 336 0 -1.0558e-21 0.0483217 0.000234767 0 0 0 
0 0 337 0 -1.23177e-21 0.048879 0.000239314 0 0 0 
0 0 338 0 -1.40774e-21 0.0494363 0.000243861 0 0 0 
0 0 339 0 -1.58371e-21 0.0499936 0.000248408 0 0 0 
0 0 340 0 -1.75967e-21 0.0505509 0.000252955 0 0 0 
0 0 341 0 -1.58371e-21 0.0511796 0.000248251 0 0 0 
0 0 342 0 -1.40774e-21 0.0518083 0.000243547 0 0 0 
0 0 343 0 -1.23177e-21 0.052437 0.000238842 0 0 0 
